"R0000100","R0532200","R0536300","R0536402","R0552200","R0690800","R0691200","R1482600","S1249300","T1067500","T3162503","T9110400","U3572700","U4370902","U4370904","U4370905","Z9073400","Z9149100"
241,1,2,1983,1,0,-4,2,0,0,5,0,6,0,0,0,-4,1
242,1,1,1984,1,-4,0,2,0,0,4,0,5,0,0,3,-4,0
243,1,2,1983,3,1,-4,3,1,1,5,-5,3,0,0,0,-4,-3
244,1,1,1983,1,-4,1,2,0,0,2,0,3,0,0,0,-4,1
245,1,2,1984,-4,-4,-4,4,0,0,5,0,6,1,3,1,-4,0
246,0,1,1980,1,-4,-4,2,0,0,2,0,6,0,0,0,-4,1
247,1,1,1982,1,-4,-4,4,0,0,2,0,5,0,1,1,-4,0
248,1,2,1983,1,1,-4,4,0,0,4,0,5,1,0,1,-4,0
249,0,1,1981,-4,-4,-4,4,-5,-5,-5,-5,3,0,0,0,-4,0
250,1,1,1981,1,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
251,1,1,1982,1,-4,-4,2,0,0,1,0,5,0,0,0,-4,0
252,1,2,1984,1,0,-4,2,0,0,1,0,6,0,0,0,-4,0
253,1,2,1984,-4,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
254,0,1,1981,1,-4,-4,4,0,1,1,0,5,0,0,0,-4,1
255,0,2,1983,1,0,-4,4,-5,-5,-5,-5,5,0,1,1,1,1
256,1,1,1980,13,-4,-4,4,0,0,2,0,3,0,0,0,-4,0
257,1,1,1984,13,-4,1,4,1,0,6,0,-5,-5,-5,-5,-4,0
258,1,1,1982,-4,-4,-4,4,0,0,4,0,5,0,0,0,-4,1
259,1,1,1981,1,-4,-4,4,0,-5,-5,-5,5,0,0,0,-4,1
260,0,1,1980,-4,-4,-4,1,0,0,5,0,5,0,0,0,-4,0
261,0,1,1983,2,-4,0,1,0,0,5,0,3,0,1,0,-4,1
262,0,1,1980,-4,-4,-4,1,0,0,5,-5,1,1,3,1,-4,0
263,0,1,1983,-4,-4,-4,1,0,-5,-2,-5,3,0,0,0,-4,0
264,1,1,1982,-4,-4,-4,4,0,0,2,0,4,0,0,1,-4,1
265,1,1,1983,1,-4,1,2,0,0,2,0,4,0,0,0,-4,1
266,0,2,1980,5,-4,-4,4,1,0,4,0,5,2,1,2,-4,0
267,1,2,1980,5,-4,-4,4,0,0,1,0,6,0,1,0,-4,1
268,0,1,1981,1,-4,0,2,0,1,2,0,4,0,0,0,-4,1
269,1,2,1981,1,-4,-4,4,1,-5,-5,-5,-5,-5,-5,-5,-4,0
270,1,2,1984,1,0,-4,4,1,0,2,0,-5,-5,-5,-5,-4,1
271,1,2,1982,13,-4,-4,4,0,0,5,0,3,0,0,0,-4,1
272,0,2,1982,3,-4,-4,2,0,0,6,0,4,3,3,1,1,3
273,0,2,1983,-4,-4,-4,2,0,-5,-5,-5,4,0,0,0,1,3
274,0,2,1980,1,-4,-4,2,1,0,4,-5,-5,-5,-5,-5,-4,0
275,0,1,1980,-4,-4,-4,2,0,-5,2,-5,-5,-5,-5,-5,-4,0
276,0,2,1982,1,-4,-4,2,0,0,1,0,-5,-5,-5,-5,-4,1
277,0,1,1984,1,-4,0,2,0,-5,-5,-5,-5,-5,-5,-5,-4,0
278,1,1,1980,14,-4,-4,4,0,0,1,0,3,0,0,0,-4,1
279,1,1,1981,6,-4,-4,4,-5,-5,-5,-5,6,0,0,0,-4,0
280,1,1,1983,6,-4,0,4,0,0,3,-5,-5,-5,-5,-5,-4,1
281,0,1,1984,2,-4,0,1,0,0,4,0,3,0,1,0,-4,0
282,1,1,1980,1,-4,-4,4,0,0,2,0,3,0,0,0,-4,0
283,1,1,1984,1,-4,0,4,0,0,3,0,3,0,0,0,-4,0
284,0,2,1981,2,-4,-4,1,0,0,2,0,4,0,0,0,-4,0
285,1,1,1981,2,-4,-4,4,0,-5,3,0,3,0,0,0,1,1
286,1,2,1984,-4,-4,-4,4,0,0,2,0,5,0,0,0,-4,1
287,1,1,1980,1,-4,-4,4,0,1,6,0,3,0,0,0,-4,1
288,1,2,1983,1,0,-4,4,0,1,4,0,3,0,1,0,-4,0
289,1,2,1984,1,0,-4,4,0,1,5,1,3,0,0,0,-4,1
290,1,2,1984,1,0,-4,4,0,0,3,0,3,1,0,1,-4,0
291,1,2,1980,6,-4,-4,4,0,0,7,0,3,0,3,0,-4,1
292,1,2,1984,1,0,-4,1,0,0,2,0,4,0,3,0,-4,0
293,1,2,1983,1,0,-4,2,0,0,3,0,5,0,2,0,3,1
294,1,1,1982,-4,-4,-4,2,0,0,1,0,6,0,1,0,-4,1
295,0,2,1984,1,0,-4,2,0,0,7,0,3,0,0,0,-4,0
296,1,2,1981,11,-4,-4,2,0,0,3,0,4,0,1,2,1,1
297,1,1,1984,11,-4,0,2,0,-5,4,0,-5,-5,-5,-5,-4,1
298,1,2,1983,1,1,-4,4,0,0,1,0,3,0,1,0,-4,0
299,1,1,1981,1,-4,-4,4,-5,0,2,0,3,0,1,0,-4,1
300,1,2,1984,1,0,-4,4,0,1,6,0,5,0,0,0,-4,1
301,0,2,1981,1,-4,-4,4,-5,-5,5,-5,6,0,1,1,-4,1
302,1,2,1984,1,0,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
